cod_ibge6,ano,leitos_uti,leitos_complementares
291600,2014,0.0,2.0
291640,2014,9.0,10.0
291720,2014,0.0,4.0
291735,2014,0.0,1.0
291750,2014,0.0,8.0
291760,2014,0.0,3.0
291800,2014,26.0,34.0
291840,2014,40.0,40.0
291845,2014,0.0,1.0
291880,2014,0.0,1.0
291920,2014,43.0,46.0
291980,2014,0.0,2.0
291992,2014,0.0,1.0
292010,2014,0.0,1.0
292020,2014,0.0,1.0
292100,2014,0.0,2.0
292110,2014,0.0,1.0
292120,2014,0.0,1.0
292130,2014,0.0,2.0
292170,2014,0.0,2.0
292210,2014,0.0,2.0
292250,2014,0.0,1.0
292300,2014,0.0,3.0
292310,2014,0.0,2.0
292360,2014,0.0,1.0
292370,2014,0.0,1.0
292400,2014,0.0,15.0
292450,2014,0.0,1.0
292520,2014,0.0,2.0
292530,2014,5.0,27.0
292630,2014,0.0,6.0
292640,2014,0.0,1.0
292660,2014,7.0,13.0
292690,2014,0.0,1.0
292740,2014,1066.0,1402.0
292790,2014,0.0,5.0
292800,2014,0.0,1.0
292810,2014,0.0,3.0
292820,2014,0.0,1.0
292860,2014,0.0,4.0
292870,2014,50.0,57.0
292880,2014,0.0,2.0
292890,2014,0.0,1.0
292900,2014,9.0,10.0
292930,2014,0.0,2.0
292960,2014,0.0,1.0
293010,2014,0.0,5.0
293015,2014,0.0,1.0
293070,2014,0.0,4.0
293075,2014,0.0,1.0
293135,2014,32.0,47.0
293150,2014,0.0,1.0
293230,2014,0.0,2.0
293260,2014,0.0,2.0
293320,2014,0.0,2.0
293325,2014,0.0,1.0
293330,2014,73.0,125.0
293345,2014,0.0,2.0
293360,2014,0.0,2.0
310030,2014,0.0,3.0
310150,2014,5.0,8.0
310160,2014,36.0,53.0
310170,2014,0.0,3.0
310210,2014,0.0,2.0
310340,2014,0.0,11.0
310350,2014,31.0,35.0
310400,2014,19.0,19.0
310420,2014,0.0,1.0
310490,2014,10.0,10.0
310540,2014,0.0,2.0
310560,2014,40.0,47.0
310590,2014,0.0,1.0
310620,2014,1406.0,1633.0
310630,2014,0.0,1.0
310640,2014,0.0,1.0
310670,2014,59.0,152.0
310750,2014,0.0,1.0
310840,2014,0.0,1.0
310860,2014,10.0,19.0
310900,2014,0.0,5.0
310930,2014,0.0,1.0
310990,2014,0.0,1.0
311000,2014,0.0,10.0
311070,2014,0.0,2.0
311120,2014,11.0,11.0
311150,2014,0.0,1.0
311230,2014,0.0,4.0
311270,2014,0.0,1.0
311320,2014,0.0,2.0
311330,2014,30.0,30.0
311340,2014,16.0,23.0
311530,2014,10.0,18.0
311550,2014,0.0,2.0
311630,2014,0.0,2.0
311787,2014,11.0,12.0
311830,2014,10.0,10.0
311860,2014,61.0,89.0
311940,2014,18.0,18.0
312090,2014,20.0,20.0
312120,2014,0.0,1.0
312160,2014,30.0,39.0
312200,2014,0.0,6.0
312230,2014,38.0,42.0
312320,2014,0.0,2.0
312390,2014,0.0,1.0
312410,2014,0.0,1.0
312510,2014,10.0,12.0
312560,2014,0.0,1.0
312610,2014,36.0,36.0
312770,2014,58.0,154.0
312800,2014,0.0,2.0
312860,2014,0.0,1.0
312870,2014,8.0,8.0
312940,2014,0.0,1.0
312980,2014,0.0,9.0
313130,2014,50.0,53.0
313170,2014,16.0,25.0
313190,2014,0.0,1.0
313210,2014,0.0,1.0
313240,2014,38.0,38.0
313250,2014,0.0,3.0
313270,2014,0.0,2.0
313330,2014,0.0,2.0
313380,2014,10.0,10.0
313420,2014,15.0,16.0
313440,2014,0.0,2.0
313510,2014,20.0,23.0
313540,2014,0.0,1.0
313580,2014,0.0,2.0
313620,2014,10.0,12.0
313630,2014,0.0,2.0
313650,2014,0.0,2.0
313670,2014,254.0,259.0
313710,2014,0.0,1.0
313720,2014,10.0,10.0
313760,2014,0.0,1.0
313770,2014,0.0,1.0
313790,2014,0.0,1.0
313800,2014,0.0,1.0
313820,2014,40.0,42.0
313840,2014,8.0,10.0
313940,2014,11.0,11.0
313950,2014,15.0,16.0
313960,2014,0.0,1.0
314000,2014,0.0,4.0
314110,2014,0.0,5.0
314180,2014,0.0,1.0
314220,2014,0.0,2.0
314270,2014,0.0,1.0
314310,2014,0.0,4.0
314330,2014,93.0,94.0
314390,2014,69.0,76.0
314400,2014,0.0,1.0
314470,2014,0.0,2.0
314480,2014,124.0,130.0
314500,2014,0.0,1.0
314560,2014,10.0,12.0
314590,2014,4.0,4.0
314610,2014,10.0,16.0
314700,2014,8.0,20.0
314710,2014,6.0,6.0
314790,2014,61.0,61.0
314800,2014,102.0,108.0
314810,2014,38.0,39.0
314870,2014,0.0,1.0
315030,2014,0.0,2.0
315080,2014,0.0,2.0
315110,2014,0.0,2.0
315120,2014,20.0,20.0
315150,2014,10.0,10.0
315180,2014,69.0,86.0
315200,2014,0.0,1.0
315210,2014,36.0,36.0
315250,2014,52.0,53.0
315280,2014,0.0,1.0
315420,2014,0.0,2.0
315520,2014,0.0,2.0
315550,2014,0.0,1.0
315680,2014,0.0,1.0
315780,2014,0.0,7.0
315790,2014,0.0,1.0
315960,2014,10.0,16.0
315990,2014,9.0,9.0
316070,2014,6.0,6.0
316100,2014,0.0,1.0
316200,2014,0.0,1.0
316220,2014,0.0,4.0
316250,2014,26.0,36.0
316270,2014,0.0,1.0
316290,2014,0.0,2.0
316370,2014,22.0,22.0
316470,2014,37.0,45.0
316530,2014,0.0,1.0
316720,2014,37.0,39.0
316800,2014,10.0,10.0
316860,2014,31.0,31.0
316870,2014,8.0,8.0
316920,2014,0.0,2.0
316930,2014,18.0,18.0
316935,2014,0.0,1.0
316940,2014,10.0,10.0
316970,2014,0.0,3.0
316990,2014,34.0,40.0
317010,2014,120.0,137.0
317020,2014,203.0,242.0
317040,2014,0.0,4.0
317070,2014,44.0,66.0
317120,2014,0.0,1.0
317130,2014,24.0,28.0
317170,2014,0.0,1.0
317200,2014,17.0,20.0
320020,2014,0.0,2.0
320060,2014,8.0,8.0
320090,2014,0.0,1.0
320120,2014,105.0,108.0
320130,2014,63.0,67.0
320150,2014,75.0,85.0
320170,2014,0.0,1.0
320230,2014,10.0,10.0
320245,2014,0.0,3.0
320260,2014,0.0,2.0
320270,2014,0.0,6.0
320290,2014,0.0,1.0
320320,2014,29.0,53.0
320340,2014,0.0,1.0
320390,2014,0.0,1.0
320435,2014,0.0,2.0
320460,2014,10.0,14.0
320470,2014,0.0,1.0
320480,2014,7.0,8.0
320490,2014,10.0,13.0
320500,2014,181.0,251.0
320506,2014,0.0,1.0
320520,2014,139.0,168.0
320530,2014,255.0,309.0
330010,2014,31.0,59.0
330020,2014,24.0,37.0
330023,2014,0.0,6.0
330025,2014,14.0,15.0
330030,2014,14.0,16.0
330040,2014,57.0,65.0
330045,2014,1.0,8.0
330050,2014,0.0,2.0
330060,2014,5.0,7.0
330070,2014,59.0,86.0
330080,2014,0.0,6.0
330090,2014,4.0,6.0
330100,2014,248.0,348.0
330120,2014,0.0,4.0
330130,2014,0.0,10.0
330170,2014,342.0,403.0
330190,2014,17.0,21.0
330200,2014,20.0,33.0
330210,2014,4.0,9.0
330220,2014,75.0,80.0
330240,2014,87.0,104.0
330250,2014,0.0,4.0
330270,2014,0.0,7.0
330280,2014,0.0,1.0
330285,2014,0.0,10.0
330290,2014,0.0,3.0
330300,2014,9.0,12.0
330320,2014,59.0,83.0
330330,2014,438.0,523.0
330340,2014,44.0,63.0
330350,2014,134.0,159.0
330370,2014,7.0,11.0
330380,2014,0.0,2.0
330390,2014,102.0,113.0
330400,2014,0.0,3.0
330410,2014,0.0,4.0
330411,2014,6.0,7.0
330414,2014,0.0,3.0
330415,2014,6.0,8.0
330420,2014,72.0,100.0
330430,2014,7.0,10.0
330440,2014,0.0,1.0
330452,2014,16.0,16.0
330455,2014,3784.0,4917.0
